last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,avg_best_speed,avg_hyper_speed,z_swing_miss_percent,oz_swing_miss_percent,oz_contact_percent,hp_to_1b,sprint_speed,
Cruz Jr., Nelson,443558,2022,.241,.399,.320,.323,.157,90.9,7.2,28,9.3,4.5,102.29838061,7.468978262,23.3,50.6,49.4,4.81,25.5,
Blackmon, Charlie,453568,2022,.256,.376,.301,.308,.120,86.2,12.4,36.7,4.4,4,97.426435333,4.732128429,16.6,32.6,67.1,4.36,27.9,
McCutchen, Andrew,457705,2022,.252,.406,.325,.329,.155,89.1,13.2,36.2,8.6,5.8,99.92693269,6.143160838,16.8,49.2,50.8,4.38,28.9,
Turner, Justin,457759,2022,.267,.427,.339,.343,.160,89.5,18.4,40.6,8,6.2,99.002545648,5.736858523,16.1,31.1,68.9,4.87,25.0,
Andrus, Elvis,462101,2022,.245,.360,.293,.300,.114,87.9,11.9,29.1,4.5,3.6,98.336003699,5.236647643,14.2,36.2,63.8,4.6,26.0,
Santana, Carlos,467793,2022,.253,.438,.352,.361,.185,90.7,15.4,31.6,9.3,7.2,100.993708488,6.851060233,16.9,34.2,65.8,4.68,25.7,
Gurriel, Yuli,493329,2022,.240,.319,.271,.286,.079,88.2,14.6,30.3,1.9,4.4,98.291200127,5.270425297,8.2,24.7,75.3,4.45,26.9,
Rojas, Miguel,500743,2022,.264,.347,.293,.310,.083,86.1,10.1,33.1,1.9,5.6,96.249960631,4.126001845,6.5,34.4,65.2,4.61,26.4,
Escobar, Eduardo,500871,2022,.243,.427,.314,.300,.183,88.3,20.6,38.7,9.4,8.9,99.290072903,5.799689784,20.8,40.7,59.3,4.29,27.9,
Pham, Tommy,502054,2022,.238,.383,.311,.315,.145,92.2,7.7,33.2,7.9,8.2,102.514437436,7.778101436,17,53.1,46.5,4.54,27.9,
Martinez, J.D.,502110,2022,.260,.471,.349,.330,.211,89.1,14.1,42,12.5,8.9,100.92394699,6.707836352,21,48.6,51.4,4.68,26.1,
Goldschmidt, Paul,502671,2022,.261,.482,.367,.357,.221,90.8,15.7,31.8,11.6,9.9,102.244608246,7.440152299,21.6,38.2,61.5,4.61,26.2,
Altuve, Jose,514888,2022,.269,.440,.354,.362,.171,85.9,16.1,35.4,7.7,6.6,97.300246419,4.671072541,10.7,26,72.6,4.23,28.1,
Hernandez, Cesar,514917,2022,.248,.329,.290,.312,.081,84.8,9.3,33.3,2.4,4.9,96.449267051,4.257329931,13.5,39.4,57.9,4.26,28.3,
Marte, Starling,516782,2022,.276,.428,.336,.332,.153,86.8,7.5,38.5,6.8,7,99.153544837,5.595179373,16.4,39.3,59.5,4.28,28.0,
Donaldson, Josh,518626,2022,.215,.370,.299,.303,.154,90.7,12,34.8,9.8,6.3,100.977600417,6.867949761,27.5,45.5,54.2,4.58,25.7,
Freeman, Freddie,518692,2022,.313,.538,.403,.400,.225,91.3,13.6,42.9,9.9,8.5,100.761588016,7.094269494,14.1,32.5,67.5,4.48,26.9,
LeMahieu, DJ,518934,2022,.274,.403,.344,.369,.130,89.2,3,32.8,5.3,6.8,99.499628485,6.048075494,10.7,26.6,73.4,4.7,26.4,
Rizzo, Anthony,519203,2022,.239,.454,.349,.350,.215,89.4,19.3,34.2,10.9,7.7,99.618112951,6.120579288,14.9,38.3,61.7,4.66,25.5,
Flores, Wilmer,527038,2022,.233,.370,.310,.322,.137,87.8,20.7,35.7,6.3,5.4,97.672013814,4.963528089,12.4,33.7,66.3,4.71,25.2,
Ozuna, Marcell,542303,2022,.256,.478,.337,.303,.222,89.4,16.5,31.8,13.1,4,101.775141886,7.035047714,19.7,44.6,55.4,4.67,26.6,
Aguilar, Jesus,542583,2022,.240,.393,.298,.288,.153,87.7,19.1,39.7,6.9,7.7,98.459753543,5.301003066,17.6,41.6,57.9,5.01,23.9,
Cron, C.J.,543068,2022,.244,.438,.321,.306,.194,88.7,14.2,36.8,10.8,5.5,101.410198894,6.867484771,16,39.3,60.5,4.84,25.2,
